algorithm,group,config,wP,wE,wB,population,mutationRate,seed,bestFitness,generationsRun,meanRank,workloadVariance,pctUnallocated,runtimeMs
ga,weights,pure-expertise,0,1,0,100,0.02,3,0.6526833333333328,143,2.678,11.921875,0,416
ga,weights,pure-expertise,0,1,0,100,0.02,4,0.6627249999999993,263,2.662,9.859375,0,762
ga,weights,pure-expertise,0,1,0,100,0.02,5,0.6576262820512814,191,2.654,10.671875,0,550
ga,weights,pure-expertise,0,1,0,100,0.02,6,0.649876282051281,147,2.546,8.171875,0,437
ga,weights,pure-expertise,0,1,0,100,0.02,7,0.6644326923076919,300,2.622,9.984375,0,829
ga,weights,pure-expertise,0,1,0,100,0.02,8,0.6494858974358967,185,2.582,7.421875,0,530
ga,weights,pure-expertise,0,1,0,100,0.02,9,0.6514679487179481,189,2.65,9.859375,0,551
ga,weights,pure-expertise,0,1,0,100,0.02,10,0.6572794871794863,213,2.722,9.234375,0,602
ga,weights,pure-expertise,0,1,0,100,0.02,11,0.6576974358974352,237,2.69,11.484375,0,649
ga,weights,pure-expertise,0,1,0,100,0.02,12,0.6568320512820505,300,2.624,11.671875,0,831
ga,weights,pure-expertise,0,1,0,100,0.02,13,0.6514846153846144,208,2.638,9.734375,0,610
ga,weights,pure-expertise,0,1,0,100,0.02,14,0.6630961538461531,289,2.672,10.234375,0,831
ga,weights,pure-expertise,0,1,0,100,0.02,15,0.6675608974358966,300,2.61,7.734375,0,860
ga,weights,pure-expertise,0,1,0,100,0.02,16,0.6574076923076915,226,2.668,8.546875,0,637
ga,weights,pure-expertise,0,1,0,100,0.02,17,0.6626480769230761,198,2.694,8.984375,0,580
ga,weights,pure-expertise,0,1,0,100,0.02,18,0.664441666666666,287,2.614,8.546875,0,832
ga,weights,pure-expertise,0,1,0,100,0.02,19,0.6528378205128199,182,2.594,10.109375,0,524
ga,weights,pure-expertise,0,1,0,100,0.02,20,0.6570134615384607,240,2.584,5.546875,0,665
ga,weights,pure-expertise,0,1,0,100,0.02,21,0.6572474358974352,188,2.7,7.484375,0,536
ga,weights,pure-expertise,0,1,0,100,0.02,22,0.6649429487179483,300,2.654,8.546875,0,856
ga,weights,pure-expertise,0,1,0,100,0.02,23,0.6559737179487174,208,2.686,7.046875,0,600
ga,weights,pure-expertise,0,1,0,100,0.02,24,0.6592782051282042,166,2.632,8.609375,0,479
ga,weights,pure-expertise,0,1,0,100,0.02,25,0.6602038461538454,251,2.602,8.796875,0,706
ga,weights,pure-expertise,0,1,0,100,0.02,26,0.6565743589743583,129,2.682,8.046875,0,386
ga,weights,pure-expertise,0,1,0,100,0.02,27,0.6553679487179478,170,2.614,8.046875,0,484
ga,weights,pure-expertise,0,1,0,100,0.02,28,0.6613891025641021,293,2.644,7.109375,0,830
ga,weights,pure-expertise,0,1,0,100,0.02,29,0.6594519230769221,286,2.662,8.859375,0,790
ga,weights,pure-expertise,0,1,0,100,0.02,30,0.654692948717948,288,2.724,8.734375,0,829
ga,weights,pure-balance,0,0,1,100,0.02,1,0.8986896352116341,169,2.076,6.859375,0,461
ga,weights,pure-balance,0,0,1,100,0.02,2,0.8951546214017083,219,2.096,7.546875,0,581
ga,weights,pure-balance,0,0,1,100,0.02,3,0.9151888953858719,197,2.2,7.921875,0,508
ga,weights,pure-balance,0,0,1,100,0.02,4,0.8876931243952567,114,2.108,7.234375,0,321
ga,weights,pure-balance,0,0,1,100,0.02,5,0.8915920783938956,153,2.044,7.609375,0,417
ga,weights,pure-balance,0,0,1,100,0.02,6,0.8968545335350483,72,2.4629258517034067,7.4912109375,0.2,202
ga,weights,pure-balance,0,0,1,100,0.02,7,0.9085565126790538,190,2.106,8.921875,0,495
ga,weights,pure-balance,0,0,1,100,0.02,8,0.8947579547680188,111,2.222,7.546875,0,313
ga,weights,pure-balance,0,0,1,100,0.02,9,0.8969129533307144,154,2.024,7.421875,0,422
ga,weights,pure-balance,0,0,1,100,0.02,10,0.8983601438716051,131,2.11,7.421875,0,361
ga,weights,pure-balance,0,0,1,100,0.02,11,0.8886954042615843,101,2.142570281124498,7.12109375,0.4,277
ga,weights,pure-balance,0,0,1,100,0.02,12,0.8958268554984693,124,2.228,6.921875,0,332
ga,weights,pure-balance,0,0,1,100,0.02,13,0.9055777678075565,175,2.222,7.484375,0,462
ga,weights,pure-balance,0,0,1,100,0.02,14,0.8989203592305632,134,2.254,8.609375,0,359
ga,weights,pure-balance,0,0,1,100,0.02,15,0.9009996773981435,194,2.016,8.359375,0,518
ga,weights,pure-balance,0,0,1,100,0.02,16,0.9003168968614641,147,2.306613226452906,8.8662109375,0.2,376
ga,weights,pure-balance,0,0,1,100,0.02,17,0.9194800766591353,119,2.25,7.421875,0,309
